z    t    r    zmid    tmid    rmid    ly    errly
0.0    0.0    0.0    -1.5150000000000001    0.3141592653589793    1.525    0.000674001178442    0.0
0.0    1.0    0.0    -1.5150000000000001    0.9424777960769379    1.525    0.0282819750668    0.0
0.0    2.0    0.0    -1.5150000000000001    1.5707963267948966    1.525    0.0756452767676    0.0
0.0    3.0    0.0    -1.5150000000000001    2.199114857512855    1.525    0.039826183435    0.0
0.0    4.0    0.0    -1.5150000000000001    2.827433388230814    1.525    0.0586943883315    0.0
0.0    5.0    0.0    -1.5150000000000001    3.4557519189487724    1.525    0.0744406634659    0.0
0.0    6.0    0.0    -1.5150000000000001    4.084070449666731    1.525    0.00948126652401    0.0
0.0    7.0    0.0    -1.5150000000000001    4.71238898038469    1.525    0.153109559702    0.0
0.0    8.0    0.0    -1.5150000000000001    5.340707511102648    1.525    0.0796071170097    0.0
0.0    9.0    0.0    -1.5150000000000001    5.969026041820607    1.525    0.116464636371    0.0
0.0    0.0    1.0    -1.5150000000000001    0.20943951023931953    4.574999999999999    0.0339825313326    0.0
0.0    1.0    1.0    -1.5150000000000001    0.6283185307179586    4.574999999999999    0.024193078554    0.0
0.0    2.0    1.0    -1.5150000000000001    1.0471975511965976    4.574999999999999    0.113262364539    0.0
0.0    3.0    1.0    -1.5150000000000001    1.4660765716752366    4.574999999999999    0.0608959741954    0.0
0.0    4.0    1.0    -1.5150000000000001    1.8849555921538759    4.574999999999999    0.0250922487184    0.0
0.0    5.0    1.0    -1.5150000000000001    2.3038346126325147    4.574999999999999    0.0701208524227    0.0
0.0    6.0    1.0    -1.5150000000000001    2.722713633111154    4.574999999999999    0.172801181449    0.0
0.0    7.0    1.0    -1.5150000000000001    3.141592653589793    4.574999999999999    0.0324062377245    0.0
0.0    8.0    1.0    -1.5150000000000001    3.560471674068432    4.574999999999999    0.0611803819447    0.0
0.0    9.0    1.0    -1.5150000000000001    3.979350694547071    4.574999999999999    0.099886713999    0.0
0.0    10.0    1.0    -1.5150000000000001    4.39822971502571    4.574999999999999    0.113497261212    0.0
0.0    11.0    1.0    -1.5150000000000001    4.817108735504349    4.574999999999999    0.0700534265384    0.0
0.0    12.0    1.0    -1.5150000000000001    5.235987755982988    4.574999999999999    0.06180134247    0.0
0.0    13.0    1.0    -1.5150000000000001    5.654866776461628    4.574999999999999    0.0303031913814    0.0
0.0    14.0    1.0    -1.5150000000000001    6.073745796940266    4.574999999999999    0.0217555464415    0.0
0.0    0.0    2.0    -1.5150000000000001    0.15707963267948966    7.625    0.0702062714737    0.0
0.0    1.0    2.0    -1.5150000000000001    0.47123889803846897    7.625    0.0433612954298    0.0
0.0    2.0    2.0    -1.5150000000000001    0.7853981633974483    7.625    0.146478746314    0.0
0.0    3.0    2.0    -1.5150000000000001    1.0995574287564276    7.625    0.0602018780436    0.0
0.0    4.0    2.0    -1.5150000000000001    1.413716694115407    7.625    0.085176721535    0.0
0.0    5.0    2.0    -1.5150000000000001    1.7278759594743862    7.625    0.0896634026928    0.0
0.0    6.0    2.0    -1.5150000000000001    2.0420352248333655    7.625    0.0613618001691    0.0
0.0    7.0    2.0    -1.5150000000000001    2.356194490192345    7.625    0.0259145712514    0.0
0.0    8.0    2.0    -1.5150000000000001    2.670353755551324    7.625    0.126715905186    0.0
0.0    9.0    2.0    -1.5150000000000001    2.9845130209103035    7.625    0.00742658068551    0.0
0.0    10.0    2.0    -1.5150000000000001    3.2986722862692828    7.625    0.0735137156007    0.0
0.0    11.0    2.0    -1.5150000000000001    3.612831551628262    7.625    0.0748510582454    0.0
0.0    12.0    2.0    -1.5150000000000001    3.9269908169872414    7.625    0.0631987568679    0.0
0.0    13.0    2.0    -1.5150000000000001    4.241150082346221    7.625    0.163673611299    0.0
0.0    14.0    2.0    -1.5150000000000001    4.5553093477052    7.625    0.0165373148117    0.0
0.0    15.0    2.0    -1.5150000000000001    4.869468613064179    7.625    0.0714877857457    0.0
0.0    16.0    2.0    -1.5150000000000001    5.183627878423159    7.625    0.0572306325281    0.0
0.0    17.0    2.0    -1.5150000000000001    5.497787143782138    7.625    0.0545596316284    0.0
0.0    18.0    2.0    -1.5150000000000001    5.811946409141117    7.625    0.0325506719712    0.0
0.0    19.0    2.0    -1.5150000000000001    6.126105674500097    7.625    0.0629624520231    0.0
0.0    0.0    3.0    -1.5150000000000001    0.07853981633974483    10.675    0.168642086815    0.0
0.0    1.0    3.0    -1.5150000000000001    0.23561944901923448    10.675    0.157136926454    0.0
0.0    2.0    3.0    -1.5150000000000001    0.39269908169872414    10.675    0.086402661671    0.0
0.0    3.0    3.0    -1.5150000000000001    0.5497787143782138    10.675    0.0182366998071    0.0
0.0    4.0    3.0    -1.5150000000000001    0.7068583470577035    10.675    0.00714958960901    0.0
0.0    5.0    3.0    -1.5150000000000001    0.8639379797371931    10.675    0.0821525805629    0.0
0.0    6.0    3.0    -1.5150000000000001    1.0210176124166828    10.675    0.109467115693    0.0
0.0    7.0    3.0    -1.5150000000000001    1.1780972450961724    10.675    0.075601077193    0.0
0.0    8.0    3.0    -1.5150000000000001    1.335176877775662    10.675    0.138273596304    0.0
0.0    9.0    3.0    -1.5150000000000001    1.4922565104551517    10.675    0.0980001958435    0.0
0.0    10.0    3.0    -1.5150000000000001    1.6493361431346414    10.675    0.0568571893525    0.0
0.0    11.0    3.0    -1.5150000000000001    1.806415775814131    10.675    0.0231899403686    0.0
0.0    12.0    3.0    -1.5150000000000001    1.9634954084936207    10.675    0.0755832330572    0.0
