z    t    r    zmid    tmid    rmid    ly    errly
0    0    0    -1.5150000000000001    0.3141592653589793    1.525    1.7477777274596147    0.23369710576331942
0    1    0    -1.5150000000000001    0.9424777960769379    1.525    2.434878372547546    1.5225745736979461
0    2    0    -1.5150000000000001    1.5707963267948966    1.525    1.7989471330877715    0.2218328748747201
0    3    0    -1.5150000000000001    2.199114857512855    1.525    1.9307672204468218    0.11644415738932579
0    4    0    -1.5150000000000001    2.827433388230814    1.525    1.8899632937695736    0.14069266353380944
0    5    0    -1.5150000000000001    3.4557519189487724    1.525    2.000767683360155    0.09387717094003549
0    6    0    -1.5150000000000001    4.084070449666731    1.525    1.8933001395636753    0.11874401042075793
0    7    0    -1.5150000000000001    4.71238898038469    1.525    1.820038212619868    0.09756017974502458
0    8    0    -1.5150000000000001    5.340707511102648    1.525    1.9923304936615662    0.11022457571330119
0    9    0    -1.5150000000000001    5.969026041820607    1.525    2.062161352360896    0.09293094192980622
0    0    1    -1.5150000000000001    0.20943951023931953    4.574999999999999    1.9943883916448142    0.057677546704296215
0    1    1    -1.5150000000000001    0.6283185307179586    4.574999999999999    1.8549697141546466    0.03115092565414952
0    2    1    -1.5150000000000001    1.0471975511965976    4.574999999999999    1.8993591164515295    0.033196669732508476
0    3    1    -1.5150000000000001    1.4660765716752366    4.574999999999999    1.9945461788623589    0.041642575966777035
0    4    1    -1.5150000000000001    1.8849555921538759    4.574999999999999    1.9000891577551056    0.04782327757307533
0    5    1    -1.5150000000000001    2.3038346126325147    4.574999999999999    1.982062961204812    0.04722986733448782
0    6    1    -1.5150000000000001    2.722713633111154    4.574999999999999    1.837685300257468    0.04957452685931718
0    7    1    -1.5150000000000001    3.141592653589793    4.574999999999999    2.0690313281480077    0.04869038395318885
0    8    1    -1.5150000000000001    3.560471674068432    4.574999999999999    1.8903469309313907    0.044469045593479695
0    9    1    -1.5150000000000001    3.979350694547071    4.574999999999999    1.8689904169252012    0.046405915106451104
0    10    1    -1.5150000000000001    4.39822971502571    4.574999999999999    1.896902610150214    0.04458864328326662
0    11    1    -1.5150000000000001    4.817108735504349    4.574999999999999    1.818035161432297    0.04898247569793063
0    12    1    -1.5150000000000001    5.235987755982988    4.574999999999999    1.9579023048951594    0.03623526307635433
0    13    1    -1.5150000000000001    5.654866776461628    4.574999999999999    1.9668300286294238    0.045629719864306
0    14    1    -1.5150000000000001    6.073745796940266    4.574999999999999    1.9906120842240216    0.042203047288770626
0    0    2    -1.5150000000000001    0.15707963267948966    7.625    1.9069249271985396    0.0321783504210351
0    1    2    -1.5150000000000001    0.47123889803846897    7.625    1.82638386141183    0.03728313170897968
0    2    2    -1.5150000000000001    0.7853981633974483    7.625    1.8156091046779825    0.04257995479974212
0    3    2    -1.5150000000000001    1.0995574287564276    7.625    1.8454869383133556    0.02982270036226553
0    4    2    -1.5150000000000001    1.413716694115407    7.625    1.7988159868530968    0.08756186732671298
0    5    2    -1.5150000000000001    1.7278759594743862    7.625    1.9584499064524106    0.05081728879673089
0    6    2    -1.5150000000000001    2.0420352248333655    7.625    1.841947635472089    0.03565732954167833
0    7    2    -1.5150000000000001    2.356194490192345    7.625    1.8939336246461453    0.0364346512972587
0    8    2    -1.5150000000000001    2.670353755551324    7.625    1.8688923073868506    0.07623259519560494
0    9    2    -1.5150000000000001    2.9845130209103035    7.625    1.9160545040379635    0.03851800635669083
0    10    2    -1.5150000000000001    3.2986722862692828    7.625    1.9212672126086046    0.03624089469832526
0    11    2    -1.5150000000000001    3.612831551628262    7.625    1.9212937952434819    0.048464133820068714
0    12    2    -1.5150000000000001    3.9269908169872414    7.625    1.9347525920032178    0.0562820485847283
0    13    2    -1.5150000000000001    4.241150082346221    7.625    1.979155777751314    0.04106254767614507
0    14    2    -1.5150000000000001    4.5553093477052    7.625    1.9077020197676202    0.04171816981672268
0    15    2    -1.5150000000000001    4.869468613064179    7.625    1.8877161071926636    0.05618623701417682
0    16    2    -1.5150000000000001    5.183627878423159    7.625    1.9311631493815105    0.03522144916681959
0    17    2    -1.5150000000000001    5.497787143782138    7.625    1.9632656415252243    0.03600900027126684
0    18    2    -1.5150000000000001    5.811946409141117    7.625    1.9296487217498584    0.0396372651854175
0    19    2    -1.5150000000000001    6.126105674500097    7.625    1.9688910003211082    0.0466800857462109
0    0    3    -1.5150000000000001    0.07853981633974483    10.675    1.892234777503416    0.0433644005840332
0    1    3    -1.5150000000000001    0.23561944901923448    10.675    1.8314892299083891    0.04803165951795677
0    2    3    -1.5150000000000001    0.39269908169872414    10.675    1.857355453024044    0.07290626500186351
0    3    3    -1.5150000000000001    0.5497787143782138    10.675    1.8648435677569923    0.03576113675223105
0    4    3    -1.5150000000000001    0.7068583470577035    10.675    1.8845486270022171    0.03627390165829256
0    5    3    -1.5150000000000001    0.8639379797371931    10.675    1.8613840994818105    0.052991760422992536
0    6    3    -1.5150000000000001    1.0210176124166828    10.675    1.8127207250433737    0.04786782576605395
0    7    3    -1.5150000000000001    1.1780972450961724    10.675    1.786766866427881    0.04101203668130173
0    8    3    -1.5150000000000001    1.335176877775662    10.675    1.832429576934407    0.0650874534672828
0    9    3    -1.5150000000000001    1.4922565104551517    10.675    1.848015086541193    0.0467371367008646
0    10    3    -1.5150000000000001    1.6493361431346414    10.675    1.9114837262691216    0.06661802364503155
0    11    3    -1.5150000000000001    1.806415775814131    10.675    1.9330523903957477    0.05514299578683598
0    12    3    -1.5150000000000001    1.9634954084936207    10.675    1.7952520021518499    0.06369486802283604
0    13    3    -1.5150000000000001    2.1205750411731104    10.675    1.760458173919364    0.040770550270782864
0    14    3    -1.5150000000000001    2.2776546738526    10.675    1.7315287161479231    0.04579787489777491
0    15    3    -1.5150000000000001    2.4347343065320897    10.675    1.7825291090491384    0.04123968012104483
0    16    3    -1.5150000000000001    2.5918139392115793    10.675    1.9089060417673231    0.0486560552862342
0    17    3    -1.5150000000000001    2.748893571891069    10.675    1.90191392093442    0.04766366753789567
0    18    3    -1.5150000000000001    2.9059732045705586    10.675    1.999661971287647    0.05290286360195625
0    19    3    -1.5150000000000001    3.0630528372500483    10.675    1.8743804066878862    0.04268767476371267
0    20    3    -1.5150000000000001    3.220132469929538    10.675    1.8762282775210406    0.060168001933402354
0    21    3    -1.5150000000000001    3.3772121026090276    10.675    1.9496025559363916    0.06692575905689507
0    22    3    -1.5150000000000001    3.5342917352885173    10.675    1.8568189175094965    0.05463734281071342
0    23    3    -1.5150000000000001    3.691371367968007    10.675    1.9256036460999169    0.06479547887513135
0    24    3    -1.5150000000000001    3.8484510006474966    10.675    1.7957705967130888    0.08317232935644125
0    25    3    -1.5150000000000001    4.005530633326986    10.675    1.8170713787028083    0.058034050888343174
0    26    3    -1.5150000000000001    4.162610266006476    10.675    1.845409114665363    0.08830733180841865
0    27    3    -1.5150000000000001    4.319689898685965    10.675    1.8543463617067735    0.06490313280249715
0    28    3    -1.5150000000000001    4.476769531365456    10.675    1.8209281114374307    0.058383803469698806
0    29    3    -1.5150000000000001    4.633849164044944    10.675    1.8523437157561076    0.04492061493202405
0    30    3    -1.5150000000000001    4.790928796724435    10.675    1.7357812542062883    0.0495412114206688
0    31    3    -1.5150000000000001    4.948008429403924    10.675    1.7712374740982744    0.05126136641365726
0    32    3    -1.5150000000000001    5.105088062083414    10.675    1.8518759935353868    0.043505901289647396
0    33    3    -1.5150000000000001    5.262167694762903    10.675    1.9553126130272998    0.051601396643549034
0    34    3    -1.5150000000000001    5.419247327442394    10.675    1.7983116005550492    0.09549470400945664
0    35    3    -1.5150000000000001    5.576326960121882    10.675    1.7927345134222021    0.05068419670417908
0    36    3    -1.5150000000000001    5.733406592801373    10.675    1.847388880244536    0.06630957045075868
0    37    3    -1.5150000000000001    5.890486225480862    10.675    1.832322811937549    0.07537565227601332
0    38    3    -1.5150000000000001    6.047565858160352    10.675    1.8284294664718173    0.08464125780265945
0    39    3    -1.5150000000000001    6.204645490839841    10.675    1.9591640247590625    0.06343088737310724
0    0    4    -1.5150000000000001    0.05235987755982988    13.725    1.7994776614813512    0.04164045711091645
0    1    4    -1.5150000000000001    0.15707963267948966    13.725    1.733942109672041    0.07905425619453565
0    2    4    -1.5150000000000001    0.2617993877991494    13.725    1.7424206158670006    0.06338983598143408
0    3    4    -1.5150000000000001    0.36651914291880916    13.725    1.7331021547927492    0.053408011690477604
0    4    4    -1.5150000000000001    0.47123889803846897    13.725    1.7169580590964602    0.03833941133573366
0    5    4    -1.5150000000000001    0.5759586531581287    13.725    1.6478165228471622    0.06799793305406909
0    6    4    -1.5150000000000001    0.6806784082777885    13.725    1.7766290234410687    0.04342198673129002
0    7    4    -1.5150000000000001    0.7853981633974483    13.725    1.8007452702365905    0.05504618827672626
0    8    4    -1.5150000000000001    0.890117918517108    13.725    1.7172751410490175    0.07267182050700803
0    9    4    -1.5150000000000001    0.9948376736367678    13.725    1.5912739039086854    0.07398428303244454
0    10    4    -1.5150000000000001    1.0995574287564276    13.725    1.6201244774596355    0.06921683357441283
0    11    4    -1.5150000000000001    1.2042771838760873    13.725    1.671210151147013    0.04576301735938803
0    12    4    -1.5150000000000001    1.308996938995747    13.725    1.6940636937086677    0.08832808413787632
0    13    4    -1.5150000000000001    1.413716694115407    13.725    1.7627149406931906    0.11013029399407924
0    14    4    -1.5150000000000001    1.5184364492350666    13.725    1.640884554968186    0.05626165641584076
0    15    4    -1.5150000000000001    1.6231562043547263    13.725    1.769285509256522    0.04123008809423399
0    16    4    -1.5150000000000001    1.7278759594743862    13.725    1.7525527491860893    0.0791409632091583
0    17    4    -1.5150000000000001    1.832595714594046    13.725    1.698226603802132    0.07373311264555474
0    18    4    -1.5150000000000001    1.9373154697137056    13.725    1.684615582520917    0.05617355650964216
0    19    4    -1.5150000000000001    2.0420352248333655    13.725    1.5859639220879993    0.08646673073219865
0    20    4    -1.5150000000000001    2.146754979953025    13.725    1.844310330548142    0.05966787355156968
0    21    4    -1.5150000000000001    2.251474735072685    13.725    1.6812238111213507    0.06420092411362746
0    22    4    -1.5150000000000001    2.356194490192345    13.725    1.7210277584094729    0.1638716524873118
0    23    4    -1.5150000000000001    2.4609142453120043    13.725    1.8544394129654107    0.06712045556864091
0    24    4    -1.5150000000000001    2.5656340004316642    13.725    1.7234455827822655    0.05160739413315817
0    25    4    -1.5150000000000001    2.670353755551324    13.725    1.697211955005137    0.05759680778048631
0    26    4    -1.5150000000000001    2.7750735106709836    13.725    1.7484268923392958    0.052041004984414864
0    27    4    -1.5150000000000001    2.8797932657906435    13.725    1.7401283823377913    0.0730959077972435
0    28    4    -1.5150000000000001    2.9845130209103035    13.725    1.7141740341204708    0.06830468388961998
0    29    4    -1.5150000000000001    3.089232776029963    13.725    1.783088939972921    0.06928532691639977
0    30    4    -1.5150000000000001    3.193952531149623    13.725    1.730114306045002    0.0416978558292487
0    31    4    -1.5150000000000001    3.2986722862692828    13.725    1.6870092621656452    0.06561080764581657
0    32    4    -1.5150000000000001    3.4033920413889422    13.725    1.9087819303104172    0.10524485824881889
0    33    4    -1.5150000000000001    3.508111796508602    13.725    1.8119277466265595    0.049186894461035024
0    34    4    -1.5150000000000001    3.612831551628262    13.725    1.851153782531322    0.055702925778219024
0    35    4    -1.5150000000000001    3.7175513067479216    13.725    1.722265840938943    0.07425111236594675
